Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
16921642,23:00.0,7.5,2014-09-01 19:23:00 UTC,-73.9884,40.74809,-73.98224,40.76248,1
39753665,38:18.0,9.7,2012-02-05 03:38:18 UTC,-73.96252,40.71503,-73.97298,40.685942,1
53749900,30:24.0,22,2014-04-17 23:30:24 UTC,-74.009058,40.716105,-73.955063,40.735334,1
35372393,11:00.0,6.1,2011-10-01 23:11:00 UTC,-73.982525,40.748608,-73.984482,40.76103,1
22681232,04:00.0,12.9,2011-07-02 15:04:00 UTC,-73.982503,40.767808,-73.925662,40.764348,1
5934054,03:49.0,8.1,2011-06-25 20:03:49 UTC,-73.976803,40.764591,-73.967313,40.787987,1
55369488,36:00.0,13.5,2013-03-28 22:36:00 UTC,-74.008817,40.71388,-73.990765,40.74623,2
44964473,27:35.0,5.5,2014-01-07 13:27:35 UTC,-73.993383,40.735858,-73.983273,40.734878,1
47775186,32:00.0,4.5,2012-07-25 15:32:00 UTC,-73.971272,40.763702,-73.963972,40.77357,1
18483802,15:00.0,15.7,2011-10-09 17:15:00 UTC,-74.007693,40.747377,-73.984277,40.71517,4
12216430,40:26.0,6.1,2011-04-11 15:40:26 UTC,-74.001058,40.741654,-73.981794,40.738197,1
11790700,16:00.0,10.5,2013-03-12 16:16:00 UTC,-73.974858,40.755272,-73.984763,40.762598,3
13979904,35:54.0,7.3,2009-01-20 08:35:54 UTC,-73.972631,40.743573,-73.972642,40.759172,1
570830,48:44.0,9.7,2010-05-13 09:48:44 UTC,-73.975942,40.744622,-74.005149,40.740734,2
38471905,38:25.0,27.7,2011-11-20 15:38:25 UTC,-73.9636,40.7653,-73.8653,40.7706,2
21129482,00:00.0,6,2014-08-29 01:00:00 UTC,-74.002125,40.72803,-73.9988,40.727995,1
8126209,12:38.0,20,2015-05-13 14:12:38 UTC,-73.96884918,40.7506485,-73.97549438,40.79536438,2
37218849,26:00.0,5.5,2014-10-13 20:26:00 UTC,-73.98977,40.734357,-73.982872,40.744755,2
44240395,08:29.0,6.9,2012-06-25 10:08:29 UTC,-73.992374,40.758706,-73.992456,40.741942,1
45917955,01:00.0,6.5,2011-02-27 00:01:00 UTC,-73.955242,40.773448,-73.970537,40.788363,5
10904721,20:00.0,6.5,2009-03-27 15:20:00 UTC,-73.991822,40.738462,-73.981683,40.746813,5
5956322,46:00.0,8.9,2012-05-04 13:46:00 UTC,-73.983397,40.741157,-73.982285,40.748797,1
15996313,17:03.0,4.9,2012-01-01 14:17:03 UTC,-73.968959,40.76103,-73.978891,40.756032,1
45918793,36:00.0,16.5,2013-02-06 08:36:00 UTC,-74.009108,40.72612,-73.982962,40.763012,1
29491009,33:28.0,5,2012-10-12 21:33:28 UTC,-73.963939,40.770534,-73.957041,40.783332,1
29715576,18:00.0,4.1,2011-07-23 10:18:00 UTC,-73.99278,40.736943,-73.991788,40.744003,1
49566788,06:44.0,13,2014-11-02 20:06:44 UTC,-73.979264,40.763691,-74.002935,40.7272,1
3133502,29:00.0,10,2014-01-30 20:29:00 UTC,-73.984248,40.758847,-73.987447,40.744502,2
21114961,26:06.0,7,2014-11-07 00:26:06 UTC,-73.996743,40.747677,-73.978543,40.752318,1
30439418,52:00.0,4.1,2009-10-11 01:52:00 UTC,-73.989275,40.75761,-73.98278,40.767207,5
53847054,07:20.0,10.1,2011-07-24 00:07:20 UTC,-74.006406,40.733424,-73.988085,40.722626,4
25195537,12:37.0,8.1,2011-09-26 11:12:37 UTC,-73.990149,40.737631,-73.974315,40.75176,1
1267457,05:00.0,8.1,2009-02-20 09:05:00 UTC,-73.973337,40.743535,-73.983863,40.749373,1
1586074,39:00.0,3.7,2011-10-15 18:39:00 UTC,-74.005007,40.737345,-73.997402,40.737702,2
14264364,05:07.0,12.1,2011-11-22 14:05:07 UTC,-73.980699,40.733915,-74.012222,40.7016,1
6962047,46:42.0,9.7,2011-02-19 20:46:42 UTC,-73.973161,40.751917,-73.978605,40.78339,1
18860028,06:12.0,14.3,2009-02-27 17:06:12 UTC,-73.99923,40.720162,-73.982509,40.76217,3
327586,49:00.0,12,2013-01-29 07:49:00 UTC,-73.95192,40.773512,-73.980587,40.759537,1
26549303,20:05.0,39.04,2015-05-11 09:20:05 UTC,-73.8744278,40.77397537,-73.97557068,40.75515747,2
8131286,36:25.0,9.5,2012-11-21 08:36:25 UTC,-73.985704,40.767473,-73.965942,40.754026,1
16647724,37:00.0,7,2014-08-10 02:37:00 UTC,-74.000775,40.72875,-73.98949,40.739778,1
51557945,55:23.0,7.3,2009-11-17 15:55:23 UTC,-73.989816,40.751683,-73.978302,40.752751,1
26699594,19:00.0,14,2014-09-03 20:19:00 UTC,-73.970766,40.75535,-73.96276,40.79407,1
50787591,08:00.0,26,2014-03-29 03:08:00 UTC,-73.982027,40.778887,-73.897037,40.859655,5
53410266,20:00.0,5.3,2010-05-10 20:20:00 UTC,-73.988178,40.732108,-73.994403,40.72223,1
36328409,39:07.0,6.9,2010-07-11 15:39:07 UTC,-73.965215,40.775226,-73.985251,40.760658,1
46051478,59:33.0,8.1,2009-12-05 12:59:33 UTC,-73.984007,40.72546,-73.992174,40.736726,1
36938392,45:00.0,7.3,2010-03-28 19:45:00 UTC,-73.978532,40.724555,-74.003767,40.722485,5
11264102,18:00.0,11.3,2010-03-12 21:18:00 UTC,-73.99337,40.752333,-73.957448,40.782632,1
12208702,18:11.0,8,2015-03-22 18:18:11 UTC,-73.96970367,40.75730896,-73.95121002,40.78248978,5
29957402,21:40.0,12.5,2009-07-28 12:21:40 UTC,-73.994141,40.740828,-73.961084,40.764099,1
17927441,12:00.0,4.5,2009-02-22 01:12:00 UTC,-73.98812,40.734575,-73.983057,40.73889,1
39348316,38:31.0,9,2014-08-28 23:38:31 UTC,-73.98256,40.767158,-73.963077,40.758515,1
49852020,27:00.0,4.9,2012-02-24 07:27:00 UTC,-74.00024,40.732617,-73.989412,40.747562,1
29200501,54:00.0,4.1,2011-12-23 00:54:00 UTC,-73.99087,40.734412,-73.985562,40.735402,1
20715254,28:00.0,3.3,2009-12-04 02:28:00 UTC,-73.979675,40.696077,-73.976063,40.693645,1
4575452,23:11.0,34.83,2014-02-14 20:23:11 UTC,-73.865518,40.77113,-73.978607,40.783342,3
6859108,15:12.0,10.5,2014-10-02 18:15:12 UTC,-73.96304,40.774069,-73.984625,40.771728,3
196199,37:00.0,7.5,2012-09-07 08:37:00 UTC,-73.945635,40.780225,-73.954515,40.765798,1
2605278,21:00.0,4.5,2013-01-20 00:21:00 UTC,-73.96857,40.791575,-73.977425,40.791192,1
54799275,15:09.0,7.3,2011-10-05 13:15:09 UTC,-73.967331,40.772549,-73.977247,40.75743,2
23844373,23:00.0,9.7,2009-02-18 16:23:00 UTC,-74.006842,40.742362,-73.984763,40.753788,3
41587708,56:00.0,5.7,2011-03-04 18:56:00 UTC,-73.970325,40.758633,-73.981207,40.747575,3
26713630,03:17.0,11.7,2011-12-06 09:03:17 UTC,-73.968465,40.765758,-73.990916,40.733898,1
29575269,27:10.0,-50.5,2010-03-16 15:27:10 UTC,-73.784868,40.648677,-73.976975,40.763522,3
25075109,55:33.0,10.1,2010-02-12 19:55:33 UTC,-73.989822,40.734234,-73.971869,40.762398,1
29798869,27:00.0,6.5,2012-05-01 20:27:00 UTC,-73.969287,40.761222,-73.979758,40.772515,3
43380470,11:47.0,6.5,2015-02-07 02:11:47 UTC,-73.99276733,40.75838852,-74.00526428,40.74030304,1
2891028,05:28.0,12,2013-07-03 22:05:28 UTC,-73.95898,40.809725,-73.982062,40.768867,1
